RCDTS,Type,District,City,County,District Type,District Size,Student Enrollment - Total,Student Enrollment - Low Income %,Avg Class Size – All Grades,Avg Teaching Exp,Bachelor Degree,Masters Degree ,Teacher Retention Rate,Teacher Avg Salary,Admin Avg Salary
090270050260000,District,Gibson City-Melvin-Sibley CUSD 5,Gibson City,Ford,UNIT,MEDIUM,1010.0,37.8,15.0,13.2,61.9,38.1,89.4,50052.04,110113.51
090270100260000,District,Paxton-Buckley-Loda CUD 10,Paxton,Ford,UNIT,MEDIUM,1356.0,47.3,16.0,13.2,51.5,48.5,86.0,44148.64,96122.29
110150010260000,District,Charleston CUSD 1,Charleston,Coles,UNIT,LARGE,2757.0,45.0,22.0,12.9,47.8,52.2,86.3,45248.85,90255.44
110150020260000,District,Mattoon CUSD 2,Mattoon,Coles,UNIT,LARGE,3403.0,56.1,19.0,14.0,41.5,58.5,85.9,54522.42,106091.57
110150050260000,District,Oakland CUSD 5,Oakland,Coles,UNIT,SMALL,265.0,49.8,14.0,11.1,57.7,42.3,82.1,43154.52,72587.67
110180030260000,District,Neoga CUSD 3,Neoga,Cumberland,UNIT,MEDIUM,597.0,47.2,16.0,15.1,59.8,40.2,79.0,48952.44,85628.25
110180770260000,District,Cumberland CUSD 77,Toledo,Cumberland,UNIT,MEDIUM,1056.0,40.1,20.0,13.4,53.1,45.3,85.6,52443.46,85349.25
110213010260000,District,Tuscola CUSD 301,Tuscola,Douglas,UNIT,MEDIUM,938.0,35.5,17.0,15.2,45.0,55.0,85.2,46544.66,95670.46
110213020260000,District,Villa Grove CUSD 302,Villa Grove,Douglas,UNIT,MEDIUM,656.0,46.2,20.0,12.7,65.9,34.1,79.1,37695.93,73066.83
110213050260000,District,Arthur CUSD 305,Arthur,Douglas,UNIT,MEDIUM,1236.0,45.5,17.0,13.3,71.2,28.8,82.4,45321.53,80845.86
110213060260000,District,Arcola CUSD 306,Arcola,Douglas,UNIT,MEDIUM,716.0,48.2,16.0,11.0,73.1,26.9,78.4,43612.37,108367.25
110230010260000,District,Shiloh CUSD 1,Hume,Edgar,UNIT,SMALL,399.0,48.9,14.0,13.3,73.4,26.6,56.0,45130.87,101938.0
110230030260000,District,Kansas CUSD 3,Kansas,Edgar,UNIT,SMALL,214.0,54.7,14.0,15.0,60.0,40.0,58.5,48495.08,63183.17
110230040260000,District,Paris CUSD 4,Paris,Edgar,UNIT,SMALL,453.0,33.3,24.0,13.0,58.0,42.0,77.0,41621.64,88365.0
110230060260000,District,Edgar County CUD 6,Chrisman,Edgar,UNIT,SMALL,318.0,39.6,12.0,12.6,87.8,12.2,73.3,37649.62,67695.36
110230950250000,District,Paris-Union SD 95,Paris,Edgar,UNIT,MEDIUM,978.0,59.8,21.0,14.1,49.2,50.8,93.9,47792.86,89265.67
110703000260000,District,Sullivan CUSD 300,Sullivan,Moultrie,UNIT,MEDIUM,1175.0,44.9,22.0,13.3,65.5,34.5,85.1,44853.37,82947.7
110703020260000,District,Okaw Valley CUSD 302,Bethany,Moultrie,UNIT,MEDIUM,507.0,46.0,14.0,12.8,87.3,12.7,86.2,36842.13,79159.93
110870010260000,District,Windsor CUSD 1,Windsor,Shelby,UNIT,SMALL,372.0,39.2,13.0,13.1,65.1,34.9,84.3,44510.81,97512.5
110870040260000,District,Shelbyville CUSD 4,Shelbyville,Shelby,UNIT,MEDIUM,1205.0,44.1,20.0,14.0,60.4,39.6,90.9,49766.89,90574.23
110870210260000,District,Central A & M CUD 21,Assumption,Shelby,UNIT,MEDIUM,714.0,41.2,14.0,15.9,57.8,42.2,82.6,50654.49,82247.37
120130100260000,District,Clay City CUSD 10,Clay City,Clay,UNIT,SMALL,328.0,63.4,24.0,9.2,70.1,29.9,68.6,41873.18,102824.0
120130250260000,District,North Clay CUSD 25,Louisville,Clay,UNIT,MEDIUM,640.0,48.3,20.0,11.9,75.2,24.8,92.1,41246.51,75575.4
120130350260000,District,Flora CUSD 35,Flora,Clay,UNIT,MEDIUM,1394.0,51.4,22.0,14.0,63.3,36.7,91.5,48860.76,81713.17
120170010260000,District,Hutsonville CUSD 1,Hutsonville,Crawford,UNIT,SMALL,346.0,49.1,15.0,11.0,60.1,39.9,70.7,36088.16,83387.55
120170020260000,District,Robinson CUSD 2,Robinson,Crawford,UNIT,MEDIUM,1595.0,44.7,22.0,15.5,55.7,42.4,89.1,49626.1,103637.0
120170030260000,District,Palestine CUSD 3,Palestine,Crawford,UNIT,SMALL,304.0,40.1,14.0,14.3,62.3,37.7,88.9,42902.04,71493.01
120170040260000,District,Oblong CUSD 4,Oblong,Crawford,UNIT,MEDIUM,612.0,45.8,23.0,15.8,51.1,48.9,86.2,43027.19,84461.67
120400010260000,District,Jasper County CUD 1,Newton,Jasper,UNIT,MEDIUM,1330.0,40.3,24.0,14.8,50.6,49.4,84.5,51987.7,91175.91
120510100260000,District,Red Hill CUSD 10,Bridgeport,Lawrence,UNIT,MEDIUM,968.0,59.5,21.0,12.0,87.0,13.0,88.5,45021.18,75187.62
120510200260000,District,Lawrence County CUD 20,Lawrenceville,Lawrence,UNIT,MEDIUM,1210.0,55.0,17.0,12.2,74.9,23.0,88.0,38138.13,61449.36
120800010260000,District,Richland County CUSD 1,Olney,Richland,UNIT,LARGE,2390.0,53.6,22.0,17.7,51.5,48.5,93.2,50034.5,95852.14
130140010260000,District,Carlyle CUSD 1,Carlyle,Clinton,UNIT,MEDIUM,1074.0,44.7,19.0,14.8,60.3,39.7,88.7,54840.83,111687.76
130140030260000,District,Wesclin CUSD 3,Trenton,Clinton,UNIT,MEDIUM,1373.0,36.1,21.0,17.4,35.4,64.6,93.3,66163.64,115865.51
130140710160000,District,Central CHSD 71,Breese,Clinton,HIGH SCHOOL,SMALL,597.0,23.3,19.0,14.7,34.2,65.8,94.6,61498.84,132884.5
130410010260000,District,Waltonville CUSD 1,Waltonville,Jefferson,UNIT,SMALL,371.0,39.9,14.0,14.6,54.5,45.5,79.1,44669.76,60004.2
130412010170000,District,Mt Vernon Twp HSD 201,Mount Vernon,Jefferson,HIGH SCHOOL,MEDIUM,1169.0,54.1,18.0,14.7,44.2,52.5,80.4,50623.69,89096.86
130412090270000,District,Woodlawn Unit School District 209,Woodlawn,Jefferson,UNIT,MEDIUM,508.0,39.8,16.0,16.3,48.7,51.3,88.3,52534.67,93050.33
130413180270000,District,Bluford Unit School District 318,Bluford,Jefferson,UNIT,SMALL,386.0,41.2,20.0,16.3,49.7,50.3,84.4,43912.36,47470.67
130581000260000,District,Patoka CUSD 100,Patoka,Marion,UNIT,SMALL,244.0,52.0,13.0,13.8,63.2,36.8,89.6,50518.41,93874.68
130582000170000,District,Centralia HSD 200,Centralia,Marion,HIGH SCHOOL,MEDIUM,908.0,58.3,18.0,12.5,46.9,48.4,93.3,52244.31,101117.0
130584010260000,District,South Central CUD 401,Kinmundy,Marion,UNIT,MEDIUM,657.0,46.1,17.0,12.8,73.1,26.9,88.5,42241.4,84106.5
130585010260000,District,Sandoval CUSD 501,Sandoval,Marion,UNIT,SMALL,487.0,77.8,18.0,10.3,59.4,40.6,75.7,39567.06,86030.92
130586000160000,District,Salem CHSD 600,Salem,Marion,HIGH SCHOOL,MEDIUM,694.0,48.8,17.0,15.5,51.4,46.2,82.5,52550.14,86057.93
130587220260000,District,Odin PSD 722,Odin,Marion,UNIT,SMALL,272.0,76.5,18.0,7.9,87.5,8.3,66.7,40358.02,79025.33
130950100260000,District,West Washington Co CUD 10,Okawville,Washington,UNIT,MEDIUM,557.0,31.4,17.0,13.5,58.5,41.5,90.1,43455.93,90176.87
130950990160000,District,Nashville CHSD 99,Nashville,Washington,HIGH SCHOOL,SMALL,430.0,32.1,19.0,14.8,31.8,68.2,94.7,67548.66,65017.47
150162990250000,District,City of Chicago SD 299,Chicago,Cook,UNIT,LARGE,372214.0,82.6,18.0,12.1,37.7,61.2,76.9,73660.59,112008.7
150169000250000,District,Horizon Science Acad-McKinley Park Charter Sch,Chicago,Cook,UNIT,MEDIUM,790.0,64.6,24.0,3.2,74.4,22.2,77.4,46101.7,62300.0
150169020250000,District,Amandla Charter School,Chicago,Cook,HIGH SCHOOL,SMALL,245.0,87.8,18.0,7.3,35.4,64.6,69.2,54043.21,110608.03
160194240260000,District,Genoa Kingston CUSD 424,Genoa,Dekalb,UNIT,MEDIUM,1671.0,35.8,24.0,13.4,29.1,70.9,76.5,56848.96,101696.07
160194250260000,District,Indian Creek CUSD 425,Shabbona,Dekalb,UNIT,MEDIUM,696.0,29.6,18.0,14.5,53.8,46.2,89.3,53738.26,98031.68
