RCDTS,Type,District,City,County,District Type,District Size,Total School Tax Rate per $100 2016-17,Total Expenditures 2016-17,Education Fund 2016-17 - Dollars,General Admin 2016-17 - Dollars,Local Property Taxes 2016-17 - Dollars,General State Aid 2016-17 - Dollars,Federal Funding 2016-17 - Dollars
480720630020000,District,Norwood ESD 63,Peoria,Peoria,ELEMENTARY,MEDIUM,3.22,4554657.0,3101695.0,385409.0,1655052.0,1389075.0,290094.0
480720660020000,District,Bartonville SD 66,Bartonville,Peoria,ELEMENTARY,MEDIUM,3.78,2662876.0,1887244.0,331677.0,1480032.0,544955.0,181532.0
480720680020000,District,Oak Grove SD 68,Bartonville,Peoria,ELEMENTARY,MEDIUM,3.94,7352576.0,2697406.0,243232.0,2110549.0,1057962.0,236916.0
480720690020000,District,Pleasant Hill SD 69,Peoria,Peoria,ELEMENTARY,SMALL,2.94,2306192.0,1918554.0,126766.0,522769.0,1326042.0,298714.0
480720700020000,District,Monroe SD 70,Bartonville,Peoria,ELEMENTARY,MEDIUM,3.29,2804821.0,2047927.0,429226.0,1700574.0,651594.0,139497.0
480721500250000,District,Peoria SD 150,Peoria,Peoria,UNIT,LARGE,5.28,176272192.0,123269898.0,9998009.0,84919493.0,51621693.0,25006842.0
480722650260000,District,Farmington Central CUSD 265,Farmington,Peoria,UNIT,MEDIUM,5.19,14280357.0,9583078.0,787462.0,7823473.0,3541913.0,671139.0
480723090260000,District,Brimfield CUSD 309,Brimfield,Peoria,UNIT,MEDIUM,4.78,7266263.0,4777481.0,327901.0,5322220.0,1000360.0,300911.0
510652020260000,District,Porta CUSD 202,Petersburg,Menard,UNIT,MEDIUM,5.05,13472103.0,8665565.0,535095.0,8057781.0,1699862.0,760279.0
480723100160000,District,Limestone CHSD 310,Peoria,Peoria,HIGH SCHOOL,MEDIUM,2.32,14939446.0,10709350.0,885887.0,9229952.0,1223845.0,553508.0
480723160040000,District,Limestone Walters CCSD 316,Peoria,Peoria,ELEMENTARY,SMALL,3.02,1964994.0,1448035.0,192514.0,1477455.0,81962.0,72581.0
480723210260000,District,Il Valley Central USD 321,Chillicothe,Peoria,UNIT,LARGE,4.62,23115373.0,14753313.0,1523198.0,13499174.0,3790490.0,1024576.0
480723220260000,District,Elmwood CUSD 322,Elmwood,Peoria,UNIT,MEDIUM,5.36,7531367.0,5044628.0,507263.0,4407898.0,1489623.0,192876.0
480723230260000,District,Dunlap CUSD 323,Peoria,Peoria,UNIT,LARGE,4.6,45389779.0,29550594.0,1199173.0,41484821.0,1936263.0,1380666.0
480723250260000,District,Peoria Heights CUSD 325,Peoria Heights,Peoria,UNIT,MEDIUM,5.65,10423789.0,8027737.0,611766.0,6925096.0,1084217.0,670241.0
480723260260000,District,Princeville CUSD 326,Princeville,Peoria,UNIT,MEDIUM,5.72,9339771.0,5992882.0,581067.0,5378866.0,1634291.0,428139.0
480723270260000,District,Illini Bluffs CUSD 327,Glasford,Peoria,UNIT,MEDIUM,5.24,9978510.0,6337530.0,547118.0,7756423.0,916674.0,311206.0
480723280030000,District,Hollis Cons SD 328,Peoria,Peoria,ELEMENTARY,SMALL,2.33,2014110.0,1276259.0,94340.0,1417192.0,25352.0,57852.0
490810290020000,District,Hampton SD 29,Hampton,Rock Island,ELEMENTARY,SMALL,3.29,2558125.0,1887133.0,210005.0,1346706.0,560530.0,101767.0
490810300170000,District,United Twp HSD 30,East Moline,Rock Island,HIGH SCHOOL,MEDIUM,1.93,19843382.0,13320563.0,994768.0,12018159.0,3192465.0,1413411.0
490810340020000,District,Silvis SD 34,East Moline,Rock Island,ELEMENTARY,MEDIUM,4.16,6415478.0,5061984.0,322393.0,3263252.0,2021606.0,808791.0
490810360020000,District,Carbon Cliff-Barstow SD 36,Silvis,Rock Island,ELEMENTARY,MEDIUM,3.68,3631826.0,2961963.0,289096.0,1019092.0,1892107.0,580036.0
490810370020000,District,East Moline SD 37,East Moline,Rock Island,ELEMENTARY,LARGE,4.16,39704664.0,24259577.0,1621487.0,16116929.0,8964404.0,4151656.0
490810400220000,District,Moline-Coal Valley CUSD 40,Moline,Rock Island,UNIT,LARGE,5.16,75775106.0,60955774.0,2125832.0,47731597.0,15937442.0,6725329.0
490810410250000,District,Rock Island SD 41,Rock Island,Rock Island,UNIT,LARGE,5.46,76642789.0,63695690.0,1467266.0,35318265.0,23049152.0,13981742.0
490811000260000,District,Riverdale CUSD 100,Port Byron,Rock Island,UNIT,MEDIUM,4.47,11080134.0,7632298.0,700095.0,7203787.0,1752279.0,554967.0
490812000260000,District,Sherrard CUSD 200,Sherrard,Rock Island,UNIT,MEDIUM,4.81,14781640.0,10811750.0,625744.0,7660145.0,4894324.0,762324.0
