RCDTS,Type,District,City,County,District Type,District Size,Total School Tax Rate per $100 2016-17,Total Expenditures 2016-17,Education Fund 2016-17 - Dollars,General Admin 2016-17 - Dollars,Local Property Taxes 2016-17 - Dollars,General State Aid 2016-17 - Dollars,Federal Funding 2016-17 - Dollars
010010010260000,District,Payson CUSD 1,Payson,Adams,UNIT,MEDIUM,5.19,5143696.0,3225555.0,564111.0,2531179.0,1775730.0,389805.0
010010020260000,District,Liberty CUSD 2,Liberty,Adams,UNIT,MEDIUM,3.85,5443479.0,3907503.0,622126.0,2253278.0,1905501.0,362160.0
010010030260000,District,Central CUSD 3,Camp Point,Adams,UNIT,MEDIUM,3.64,7564187.0,5960372.0,770369.0,3128518.0,2892183.0,620882.0
010010040260000,District,CUSD 4,Mendon,Adams,UNIT,MEDIUM,5.59,6350671.0,4584398.0,671307.0,3634218.0,2318723.0,383059.0
010011720220000,District,Quincy SD 172,Quincy,Adams,UNIT,LARGE,4.04,92289055.0,48343392.0,2423593.0,39430662.0,12774845.0,8539441.0
010050010260000,District,Brown County CUSD 1,Mount Sterling,Brown,UNIT,MEDIUM,4.35,9914825.0,6180557.0,1036593.0,3683050.0,2016272.0,401756.0
010090150260000,District,Beardstown CUSD 15,Beardstown,Cass,UNIT,MEDIUM,5.07,13551069.0,11347075.0,542350.0,3046836.0,7615862.0,1512178.0
010090640260000,District,Virginia CUSD 64,Virginia,Cass,UNIT,SMALL,6.05,3907039.0,2138345.0,522252.0,2220956.0,623159.0,198631.0
010092620260000,District,A-C Central CUSD 262,Ashland,Cass,UNIT,SMALL,6.02,5305862.0,3144054.0,635186.0,3020371.0,1174988.0,337950.0
010690010260000,District,Franklin CUSD 1,Franklin,Morgan,UNIT,SMALL,4.7,4336122.0,2879590.0,228683.0,2694413.0,385220.0,168598.0
010690060260000,District,Waverly CUSD 6,Waverly,Morgan,UNIT,SMALL,5.25,4402408.0,3266104.0,225264.0,2804248.0,836115.0,234577.0
010690110260000,District,Meredosia-Chambersburg CUSD 11,Meredosia,Morgan,UNIT,SMALL,5.68,3323391.0,2171188.0,331887.0,2483713.0,271088.0,195695.0
010690270260000,District,Triopia CUSD 27,Concord,Morgan,UNIT,SMALL,5.05,3958635.0,2718296.0,451078.0,2238616.0,872095.0,165245.0
010691170220000,District,Jacksonville SD 117,Jacksonville,Morgan,UNIT,LARGE,4.8,57171598.0,28194911.0,1330999.0,20718011.0,8585347.0,3498115.0
010750030260000,District,Pleasant Hill CUSD 3,Pleasant Hill,Pike,UNIT,SMALL,5.3,3514637.0,2517535.0,221758.0,1546464.0,851550.0,224342.0
010750040260000,District,Griggsville-Perry CUSD 4,Griggsville,Pike,UNIT,SMALL,5.79,7072846.0,2975956.0,660273.0,2251339.0,1458621.0,461221.0
010750100260000,District,Pikeland CUSD 10,Pittsfield,Pike,UNIT,MEDIUM,4.23,12826218.0,8985484.0,709139.0,4850842.0,4364210.0,937784.0
010750120260000,District,Western CUSD 12,Barry,Pike,UNIT,MEDIUM,5.64,8200560.0,4189338.0,715314.0,2991286.0,1900607.0,329039.0
010860010260000,District,Winchester CUSD 1,Winchester,Scott,UNIT,MEDIUM,4.35,6740794.0,4550692.0,588541.0,2103384.0,2313742.0,315119.0
010860020260000,District,Scott-Morgan CUSD 2,Bluffs,Scott,UNIT,SMALL,5.29,2751405.0,1822727.0,307611.0,1146150.0,772296.0,157706.0
030030010260000,District,Mulberry Grove CUSD 1,Mulberry Grove,Bond,UNIT,SMALL,4.53,3905812.0,2830422.0,327975.0,1357749.0,1705945.0,405960.0
030030020260000,District,Bond County CUSD 2,Greenville,Bond,UNIT,LARGE,4.88,18803540.0,14288592.0,1014420.0,8425609.0,6123684.0,1408229.0
030110010260000,District,Morrisonville CUSD 1,Morrisonville,Christian,UNIT,SMALL,5.03,3749684.0,2515875.0,282108.0,2117532.0,675533.0,199741.0
030110030260000,District,Taylorville CUSD 3,Taylorville,Christian,UNIT,LARGE,3.42,23606047.0,17586207.0,633524.0,10439853.0,7272858.0,1401583.0
030110040260000,District,Edinburg CUSD 4,Edinburg,Christian,UNIT,SMALL,3.98,2543123.0,1930451.0,223982.0,1854158.0,425733.0,196698.0
030110080260000,District,Pana CUSD 8,Pana,Christian,UNIT,MEDIUM,5.06,14362028.0,10679099.0,884651.0,5454599.0,5626610.0,1218019.0
030110140240000,District,South Fork SD 14,Kincaid,Christian,UNIT,SMALL,4.33,3140512.0,2519059.0,179898.0,904618.0,1620122.0,350824.0
030250100260000,District,Altamont CUSD 10,Altamont,Effingham,UNIT,MEDIUM,4.41,7378060.0,5224705.0,607933.0,3020435.0,2857304.0,493652.0
030250200260000,District,Beecher City CUSD 20,Beecher City,Effingham,UNIT,SMALL,3.9,3498561.0,2515349.0,358810.0,2397858.0,478934.0,219893.0
030250300260000,District,Dieterich CUSD 30,Dieterich,Effingham,UNIT,MEDIUM,4.05,4039569.0,3053284.0,256865.0,1456319.0,1855406.0,245097.0
030250400260000,District,Effingham CUSD 40,Effingham,Effingham,UNIT,LARGE,3.61,30205290.0,17271576.0,1792106.0,15349870.0,5148049.0,1723337.0
030250500260000,District,Teutopolis CUSD 50,Teutopolis,Effingham,UNIT,MEDIUM,3.7,8920978.0,6627610.0,618643.0,4635099.0,2869003.0,608703.0
030262010260000,District,Brownstown CUSD 201,Brownstown,Fayette,UNIT,SMALL,4.89,4082765.0,3254754.0,253593.0,1050230.0,1643639.0,380027.0
030262020260000,District,St Elmo CUSD 202,Saint Elmo,Fayette,UNIT,SMALL,4.13,4232038.0,3365231.0,328996.0,1587654.0,1727360.0,535680.0
030262030260000,District,Vandalia CUSD 203,Vandalia,Fayette,UNIT,MEDIUM,5.19,18886024.0,11910146.0,1057318.0,6009639.0,5829737.0,1302472.0
030262040260000,District,Ramsey CUSD 204,Ramsey,Fayette,UNIT,SMALL,4.2,4431917.0,3323197.0,226908.0,1079179.0,2225544.0,439453.0
030680020260000,District,Panhandle CUSD 2,Raymond,Montgomery,UNIT,MEDIUM,5.25,5672945.0,4279053.0,331357.0,3398640.0,1056958.0,440066.0
030680030260000,District,Hillsboro CUSD 3,Hillsboro,Montgomery,UNIT,MEDIUM,5.14,18943970.0,13169462.0,1355990.0,10712153.0,4034495.0,900410.0
030680120260000,District,Litchfield CUSD 12,Litchfield,Montgomery,UNIT,MEDIUM,4.76,15665127.0,11495861.0,1547477.0,6579814.0,5007455.0,1036198.0
030680220260000,District,Nokomis CUSD 22,Nokomis,Montgomery,UNIT,MEDIUM,4.84,7898834.0,4604677.0,453405.0,2480428.0,2533080.0,361355.0
040041000260000,District,Belvidere CUSD 100,Belvidere,Boone,UNIT,LARGE,6.53,95323370.0,69688406.0,1597926.0,51731104.0,27770604.0,5524812.0
040042000260000,District,North Boone CUSD 200,Poplar Grove,Boone,UNIT,MEDIUM,8.38,19737375.0,13242244.0,632385.0,10911794.0,6024111.0,1074974.0
041011220220000,District,Harlem UD 122,Machesney Park,Winnebago,UNIT,LARGE,8.39,92715834.0,68538520.0,2892591.0,51102236.0,22272549.0,6413092.0
041011310040000,District,Kinnikinnick CCSD 131,Roscoe,Winnebago,ELEMENTARY,MEDIUM,4.07,16364425.0,13494549.0,609787.0,13259874.0,3430106.0,606462.0
041011330040000,District,Prairie Hill CCSD 133,South Beloit,Winnebago,ELEMENTARY,MEDIUM,4.53,17413722.0,5575650.0,278321.0,5158364.0,1861480.0,260006.0
041011340040000,District,Shirland CCSD 134,Shirland,Winnebago,ELEMENTARY,SMALL,4.15,1559889.0,1283277.0,116114.0,1192309.0,74454.0,159513.0
041011400040000,District,Rockton SD 140,Rockton,Winnebago,ELEMENTARY,MEDIUM,3.89,14943688.0,11773142.0,409116.0,8396819.0,3807340.0,615851.0
041012050250000,District,Rockford SD 205,Rockford,Winnebago,UNIT,LARGE,7.94,411135285.0,294296678.0,15129252.0,179627484.0,115810724.0,45645248.0
041012070160000,District,Hononegah CHD 207,Rockton,Winnebago,HIGH SCHOOL,MEDIUM,2.61,26253271.0,21015356.0,1232288.0,17514498.0,4757388.0,897075.0
041013200260000,District,County of Winnebago SD 320,South Beloit,Winnebago,UNIT,MEDIUM,7.13,12429376.0,8066729.0,489303.0,5829234.0,3712682.0,1308899.0
041013210260000,District,Pecatonica CUSD 321,Pecatonica,Winnebago,UNIT,MEDIUM,7.42,11290867.0,8260590.0,821392.0,6951144.0,2438283.0,433335.0
041013220260000,District,Durand CUSD 322,Durand,Winnebago,UNIT,MEDIUM,8.28,9075153.0,6640337.0,408495.0,6444372.0,1037175.0,364566.0
041013230260000,District,Winnebago CUSD 323,Winnebago,Winnebago,UNIT,MEDIUM,7.43,16914520.0,12829979.0,665827.0,11451042.0,3616000.0,560995.0
050160150040000,District,Palatine CCSD 15,Palatine,Cook,ELEMENTARY,LARGE,4.04,169900539.0,120585242.0,3778431.0,123694697.0,10199975.0,10431831.0
050160210040000,District,Wheeling CCSD 21,Wheeling,Cook,ELEMENTARY,LARGE,5.64,106941326.0,84185376.0,2198469.0,87618241.0,8702801.0,5155148.0
050160230020000,District,Prospect Heights SD 23,Prospect Heights,Cook,ELEMENTARY,MEDIUM,4.06,22428048.0,17630270.0,527707.0,18515907.0,942657.0,688215.0
050160250020000,District,Arlington Heights SD 25,Arlington Heights,Cook,ELEMENTARY,LARGE,3.99,100687481.0,61751565.0,1577630.0,63427639.0,2360022.0,2483600.0
050160260020000,District,River Trails SD 26,Mt Prospect,Cook,ELEMENTARY,MEDIUM,4.74,29572882.0,20708459.0,1000317.0,22204888.0,872947.0,1067302.0
050160270020000,District,Northbrook ESD 27,Northbrook,Cook,ELEMENTARY,MEDIUM,3.57,25996942.0,22277493.0,994216.0,25248260.0,294702.0,304588.0
050160280020000,District,Northbrook SD 28,Northbrook,Cook,ELEMENTARY,LARGE,3.3,36694507.0,32158295.0,984957.0,32092716.0,413223.0,729021.0
050160290020000,District,Sunset Ridge SD 29,Northfield,Cook,ELEMENTARY,MEDIUM,3.2,33509707.0,10477297.0,732544.0,12256005.0,112444.0,209601.0
050160300020000,District,Northbrook/Glenview SD 30,Northbrook,Cook,ELEMENTARY,MEDIUM,3.39,24933860.0,20541191.0,1107072.0,21013192.0,273234.0,338999.0
050160310020000,District,West Northfield SD 31,Northbrook,Cook,ELEMENTARY,MEDIUM,3.11,21183455.0,17418631.0,912870.0,16734072.0,409111.0,622196.0
050160340040000,District,Glenview CCSD 34,Glenview,Cook,ELEMENTARY,LARGE,3.29,76776699.0,55414351.0,1274818.0,59280709.0,2161264.0,2788890.0
050160350020000,District,Glencoe SD 35,Glencoe,Cook,ELEMENTARY,MEDIUM,3.56,25630721.0,18907685.0,793398.0,26298164.0,278393.0,338102.0
050160360020000,District,Winnetka SD 36,Winnetka,Cook,ELEMENTARY,LARGE,3.54,75009797.0,31906222.0,1125496.0,40928716.0,373274.0,528742.0
050160370020000,District,Avoca SD 37,Wilmette,Cook,ELEMENTARY,MEDIUM,3.09,16759236.0,12959861.0,578758.0,13354820.0,178070.0,201768.0
050160380020000,District,Kenilworth SD 38,Kenilworth,Cook,ELEMENTARY,MEDIUM,4.19,18271741.0,10178018.0,572897.0,12513303.0,109190.0,136389.0
050160390020000,District,Wilmette SD 39,Wilmette,Cook,ELEMENTARY,LARGE,3.5,57547521.0,45319271.0,1576650.0,51276909.0,1225740.0,1303386.0
050160540040000,District,Schaumburg CCSD 54,Schaumburg,Cook,ELEMENTARY,LARGE,4.33,193543609.0,160910110.0,935753.0,167811891.0,9293542.0,7356803.0
050160570020000,District,Mount Prospect SD 57,Mt Prospect,Cook,ELEMENTARY,LARGE,3.36,25301545.0,20386845.0,839390.0,18833980.0,939154.0,859376.0
050160590040000,District,Comm Cons SD 59,Elk Grove Vlg,Cook,ELEMENTARY,LARGE,3.29,113940989.0,87757797.0,3438598.0,84871238.0,8257935.0,5654705.0
050160620040000,District,CCSD 62,Des Plaines,Cook,ELEMENTARY,LARGE,4.49,83621259.0,62713852.0,1860333.0,69044162.0,5652700.0,5802143.0
050160630020000,District,East Maine SD 63,Des Plaines,Cook,ELEMENTARY,LARGE,4.04,49664509.0,35363840.0,1643732.0,38156569.0,5350428.0,3070121.0
050160640040000,District,Park Ridge CCSD 64,Park Ridge,Cook,ELEMENTARY,LARGE,4.79,81759593.0,60778640.0,2209440.0,66395603.0,1682678.0,1962666.0
050160650040000,District,Evanston CCSD 65,Evanston,Cook,ELEMENTARY,LARGE,3.81,121336650.0,98437708.0,3253318.0,93564702.0,4743449.0,9621649.0
050160670020000,District,Golf ESD 67,Morton Grove,Cook,ELEMENTARY,MEDIUM,3.55,10683338.0,7611451.0,539455.0,9981385.0,352026.0,159133.0
050160680020000,District,Skokie SD 68,Skokie,Cook,ELEMENTARY,LARGE,3.25,32266351.0,24396434.0,1426808.0,27574132.0,1662546.0,1034671.0
050160690020000,District,Skokie SD 69,Skokie,Cook,ELEMENTARY,MEDIUM,6.17,39848009.0,19946617.0,830192.0,22546543.0,2860310.0,1419833.0
050160700020000,District,Morton Grove SD 70,Morton Grove,Cook,ELEMENTARY,MEDIUM,4.28,13765107.0,11221646.0,475853.0,11647414.0,482425.0,191521.0
050160710020000,District,Niles ESD 71,Niles,Cook,ELEMENTARY,MEDIUM,2.12,8511457.0,7245538.0,437790.0,8078950.0,329198.0,232185.0
050160720020000,District,Fairview SD 72,Skokie,Cook,ELEMENTARY,MEDIUM,2.57,12484597.0,9837263.0,559803.0,10509804.0,306139.0,397436.0
050160730020000,District,East Prairie SD 73,Skokie,Cook,ELEMENTARY,MEDIUM,4.23,9306118.0,6579757.0,449101.0,7745762.0,405498.0,167742.0
050160735020000,District,Skokie SD 73-5,Skokie,Cook,ELEMENTARY,MEDIUM,6.5,27445522.0,15352055.0,736604.0,16912457.0,785774.0,586324.0
050160740020000,District,Lincolnwood SD 74,Lincolnwood,Cook,ELEMENTARY,MEDIUM,3.74,35588483.0,18728152.0,852149.0,23117159.0,699154.0,209141.0
050162020170000,District,Evanston Twp HSD 202,Evanston,Cook,HIGH SCHOOL,MEDIUM,2.79,83458225.0,63307020.0,2752264.0,69755355.0,1777702.0,3124599.0
050162030170000,District,New Trier Twp HSD 203,Northfield,Cook,HIGH SCHOOL,LARGE,2.38,153953067.0,87717002.0,1817753.0,106789412.0,930863.0,2280305.0
050162070170000,District,Maine Township HSD 207,Park Ridge,Cook,HIGH SCHOOL,LARGE,2.9,132080661.0,101852354.0,3241974.0,118835344.0,3634864.0,3280698.0
050162110170000,District,Township HSD 211,Palatine,Cook,HIGH SCHOOL,LARGE,3.31,262852656.0,186580624.0,5388571.0,213208865.0,6659377.0,7247665.0
050162140170000,District,Township HSD 214,Arlington Heights,Cook,HIGH SCHOOL,LARGE,2.88,243430152.0,189556175.0,3911256.0,216608198.0,6486112.0,5089204.0
050162190170000,District,Niles Twp HSD 219,Skokie,Cook,HIGH SCHOOL,LARGE,3.89,147617722.0,112574678.0,5410227.0,142482442.0,3126988.0,2328662.0
050162250170000,District,Northfield Twp HSD 225,Glenview,Cook,HIGH SCHOOL,LARGE,2.49,131173719.0,99982167.0,2887359.0,118568007.0,1814463.0,3473605.0
060160780020000,District,Rosemont ESD 78,Rosemont,Cook,ELEMENTARY,SMALL,1.72,4792067.0,3931511.0,236617.0,5137705.0,204296.0,149046.0
060160790020000,District,Pennoyer SD 79,Norridge,Cook,ELEMENTARY,MEDIUM,2.82,4150815.0,3386330.0,560255.0,3781298.0,354082.0,136357.0
060160800020000,District,Norridge SD 80,Norridge,Cook,ELEMENTARY,MEDIUM,2.5,12030082.0,10490995.0,557988.0,8500964.0,826041.0,563371.0
060160810020000,District,Schiller Park SD 81,Schiller Park,Cook,ELEMENTARY,MEDIUM,5.04,31446134.0,14916666.0,622221.0,14957450.0,2632771.0,1379175.0
060160830020000,District,Mannheim SD 83,Franklin Park,Cook,ELEMENTARY,LARGE,5.88,48342832.0,34497640.0,906298.0,37610778.0,5151600.0,2260075.0
060160840020000,District,Franklin Park SD 84,Franklin Park,Cook,ELEMENTARY,MEDIUM,5.95,19376924.0,14851611.0,624482.0,16752569.0,1944316.0,1044742.0
060160845020000,District,Rhodes SD 84-5,River Grove,Cook,ELEMENTARY,MEDIUM,4.89,13652239.0,8247165.0,549839.0,9429998.0,1300214.0,709382.0
060160855020000,District,River Grove SD 85-5,River Grove,Cook,ELEMENTARY,MEDIUM,4.26,9628254.0,6265405.0,774392.0,5146659.0,1888073.0,502706.0
060160860020000,District,Union Ridge SD 86,Harwood Heights,Cook,ELEMENTARY,MEDIUM,3.38,7373876.0,6017916.0,429842.0,5641064.0,660089.0,351221.0
060160870020000,District,Berkeley SD 87,Berkeley,Cook,ELEMENTARY,LARGE,5.1,36464375.0,27915082.0,1055089.0,20404044.0,11123879.0,3092616.0
060160880020000,District,Bellwood SD 88,Bellwood,Cook,ELEMENTARY,LARGE,4.89,35870672.0,26124581.0,2251458.0,14934652.0,14360851.0,3180842.0
060160890020000,District,Maywood-Melrose Park-Broadview 89,Melrose Park,Cook,ELEMENTARY,LARGE,3.77,62325906.0,51802636.0,3026114.0,16454915.0,36491357.0,8735177.0
060160900020000,District,River Forest SD 90,River Forest,Cook,ELEMENTARY,MEDIUM,4.66,25490371.0,19366163.0,1123643.0,22453054.0,514806.0,668826.0
060160910020000,District,Forest Park SD 91,Forest Park,Cook,ELEMENTARY,MEDIUM,5.04,18184313.0,15016955.0,818519.0,14834170.0,1127348.0,925919.0
060160920020000,District,Lindop SD 92,Broadview,Cook,ELEMENTARY,MEDIUM,7.12,7060076.0,5443361.0,629935.0,5915772.0,954778.0,407329.0
060160925020000,District,Westchester SD 92-5,Westchester,Cook,ELEMENTARY,MEDIUM,3.82,16983477.0,11839451.0,807748.0,13256815.0,816991.0,317844.0
060160930020000,District,Hillside SD 93,Hillside,Cook,ELEMENTARY,MEDIUM,2.7,8161131.0,6443552.0,557527.0,7072736.0,506014.0,373040.0
060160940020000,District,Komarek SD 94,North Riverside,Cook,ELEMENTARY,MEDIUM,3.81,7412951.0,5934718.0,307402.0,5258131.0,258312.0,159908.0
060160950020000,District,Brookfield Lagrange Park SD 95,Brookfield,Cook,ELEMENTARY,MEDIUM,5.23,13458347.0,10262553.0,581444.0,10739244.0,1826757.0,510598.0
060160960020000,District,Riverside SD 96,Riverside,Cook,ELEMENTARY,MEDIUM,5.45,26946281.0,21120752.0,919176.0,24427088.0,856419.0,445694.0
060160970020000,District,Oak Park ESD 97,Oak Park,Cook,ELEMENTARY,LARGE,4.6,94544443.0,69714006.0,2272045.0,62436633.0,9100235.0,3073711.0
060160980020000,District,Berwyn North SD 98,Berwyn,Cook,ELEMENTARY,LARGE,4.13,35663420.0,30385798.0,775544.0,8761814.0,21533270.0,3883164.0
060160990020000,District,Cicero SD 99,Cicero,Cook,ELEMENTARY,LARGE,5.24,166873430.0,122260733.0,7031740.0,33094988.0,94628390.0,17621703.0
060161000020000,District,Berwyn South SD 100,Berwyn,Cook,ELEMENTARY,LARGE,4.57,44431102.0,34545533.0,692976.0,17467106.0,18116817.0,5023158.0
060161010020000,District,Western Springs SD 101,Western Springs,Cook,ELEMENTARY,MEDIUM,3.37,18374015.0,14260439.0,724125.0,16024579.0,642711.0,161113.0
060161020020000,District,La Grange SD 102,La Grange Park,Cook,ELEMENTARY,LARGE,4.02,41136086.0,30971525.0,1246330.0,30207963.0,2071461.0,1483226.0
060161030020000,District,Lyons SD 103,Lyons,Cook,ELEMENTARY,LARGE,5.92,30963891.0,24486111.0,1227317.0,22530592.0,6023292.0,1619797.0
060161050020000,District,La Grange SD 105 South,La Grange,Cook,ELEMENTARY,MEDIUM,3.87,24768580.0,18377186.0,819558.0,21861831.0,890678.0,1439298.0
060161060020000,District,LaGrange Highlands SD 106,La Grange Highlands,Cook,ELEMENTARY,MEDIUM,3.71,13078857.0,10279188.0,638980.0,12361523.0,281831.0,151370.0
060161070020000,District,Pleasantdale SD 107,Burr Ridge,Cook,ELEMENTARY,MEDIUM,2.67,14986224.0,10715066.0,430389.0,14339060.0,211042.0,115620.0
060162000130000,District,Oak Park - River Forest SD 200,Oak Park,Cook,HIGH SCHOOL,MEDIUM,3.63,81090417.0,63049778.0,3499506.0,72200847.0,1454530.0,3172296.0
060162010170000,District,J S Morton HSD 201,Cicero,Cook,HIGH SCHOOL,LARGE,3.34,111464412.0,75898844.0,2374217.0,52826491.0,43510708.0,11523161.0
060162040170000,District,Lyons Twp HSD 204,La Grange,Cook,HIGH SCHOOL,LARGE,2.43,79130369.0,60684389.0,1079054.0,68052178.0,1715041.0,1282310.0
060162080170000,District,Riverside-Brookfield Twp SD 208,Riverside,Cook,HIGH SCHOOL,MEDIUM,3.33,32150340.0,19856198.0,653688.0,25421198.0,1440504.0,457295.0
060162090170000,District,Proviso Twp HSD 209,Forest Park,Cook,HIGH SCHOOL,LARGE,3.06,91505459.0,61162987.0,2423197.0,63921796.0,13494963.0,3404575.0
060162120160000,District,Leyden CHSD 212,Franklin Park,Cook,HIGH SCHOOL,MEDIUM,3.47,86567792.0,57296315.0,2209196.0,68264807.0,3466096.0,2557112.0
060162340160000,District,Ridgewood CHSD 234,Norridge,Cook,HIGH SCHOOL,MEDIUM,3.33,18119891.0,11835939.0,720568.0,17515013.0,586700.0,466965.0
060164010260000,District,Elmwood Park CUSD 401,Elmwood Park,Cook,UNIT,LARGE,6.74,44568076.0,33893835.0,1465605.0,26268592.0,9998487.0,2199725.0
070161040020000,District,Summit SD 104,Summit,Cook,ELEMENTARY,LARGE,7.03,30281261.0,19549808.0,1222701.0,15119848.0,8835758.0,2594251.0
070161080020000,District,Willow Springs SD 108,Willow Springs,Cook,ELEMENTARY,MEDIUM,7.13,6306172.0,4627661.0,349121.0,4234526.0,1173794.0,310637.0
070161090020000,District,Indian Springs SD 109,Justice,Cook,ELEMENTARY,LARGE,4.46,36388148.0,28855333.0,1429632.0,16113426.0,11404969.0,2708748.0
070161100020000,District,Central Stickney SD 110,Chicago,Cook,ELEMENTARY,MEDIUM,2.44,5282082.0,4127378.0,413825.0,4823549.0,817368.0,389115.0
070161110020000,District,Burbank SD 111,Burbank,Cook,ELEMENTARY,LARGE,4.99,47455803.0,34068022.0,1876265.0,33463716.0,7786543.0,2177778.0
070161170020000,District,North Palos SD 117,Palos Hills,Cook,ELEMENTARY,LARGE,5.85,50925067.0,30901833.0,1332361.0,31654808.0,7554854.0,2611352.0
070161180040000,District,Palos CCSD 118,Palos Park,Cook,ELEMENTARY,LARGE,3.21,28271854.0,20133831.0,706205.0,22092358.0,875815.0,999553.0
070161220020000,District,Ridgeland SD 122,Oak Lawn,Cook,ELEMENTARY,LARGE,4.81,32057889.0,20772391.0,783385.0,20751162.0,4786872.0,2409835.0
070161230020000,District,Oak Lawn-Hometown SD 123,Oak Lawn,Cook,ELEMENTARY,LARGE,5.9,47372824.0,32426049.0,1270812.0,34832187.0,4757344.0,2229449.0
070161240020000,District,Evergreen Park ESD 124,Evergreen Park,Cook,ELEMENTARY,LARGE,6.03,28603583.0,21958332.0,1373030.0,21008970.0,1953540.0,1019666.0
070161250020000,District,Atwood Heights SD 125,Alsip,Cook,ELEMENTARY,MEDIUM,5.51,8366704.0,6305628.0,466106.0,5696782.0,2285847.0,403130.0
070161260020000,District,Alsip-Hazlgrn-Oaklwn SD 126,Alsip,Cook,ELEMENTARY,MEDIUM,5.32,24897214.0,19201451.0,583525.0,23520493.0,1877120.0,1226778.0
070161270020000,District,Worth SD 127,Worth,Cook,ELEMENTARY,MEDIUM,6.99,15152239.0,10219152.0,662645.0,10150956.0,4155816.0,937807.0
070161275020000,District,Chicago Ridge SD 127-5,Chicago Ridge,Cook,ELEMENTARY,MEDIUM,5.48,16856488.0,13505398.0,649009.0,7190890.0,6898431.0,1624271.0
070161280020000,District,Palos Heights SD 128,Palos Heights,Cook,ELEMENTARY,MEDIUM,3.28,10191690.0,7490767.0,626567.0,8760460.0,292347.0,221513.0
070161300020000,District,Cook County SD 130,Blue Island,Cook,ELEMENTARY,LARGE,6.21,52396720.0,39728067.0,1560740.0,27538583.0,14502938.0,4191892.0
070161320020000,District,Calumet Public SD 132,Calumet Park,Cook,ELEMENTARY,MEDIUM,5.95,13373577.0,10351265.0,866972.0,4761659.0,7937008.0,2081111.0
070161330020000,District,Gen George Patton SD 133,Riverdale,Cook,ELEMENTARY,SMALL,10.12,5470089.0,3883034.0,721567.0,2115007.0,2067932.0,880556.0
070161350020000,District,Orland SD 135,Orland Park,Cook,ELEMENTARY,LARGE,3.43,77798989.0,60369126.0,1792920.0,62907005.0,2317529.0,2415163.0
070161400020000,District,Kirby SD 140,Tinley Park,Cook,ELEMENTARY,LARGE,5.3,52803097.0,36646959.0,1097495.0,38535938.0,3951265.0,1696855.0
070161420020000,District,Forest Ridge SD 142,Oak Forest,Cook,ELEMENTARY,MEDIUM,4.38,15605246.0,11677558.0,799587.0,9925442.0,3881608.0,1075597.0
070161430020000,District,Midlothian SD 143,Midlothian,Cook,ELEMENTARY,LARGE,4.4,20662641.0,16370762.0,1272349.0,7476647.0,8495855.0,1675890.0
070161435020000,District,Posen-Robbins ESD 143-5,Posen,Cook,ELEMENTARY,MEDIUM,4.23,35599144.0,16635842.0,1110785.0,3592206.0,12743713.0,2931732.0
070161440020000,District,Prairie-Hills ESD 144,Markham,Cook,ELEMENTARY,LARGE,6.13,36268294.0,25417193.0,1408626.0,13455664.0,14794123.0,4120893.0
070161450020000,District,Arbor Park SD 145,Oak Forest,Cook,ELEMENTARY,MEDIUM,5.87,18053846.0,11465239.0,851292.0,9863627.0,4599384.0,1119158.0
070161460040000,District,CCSD 146,Tinley Park,Cook,ELEMENTARY,LARGE,6.13,37758246.0,28746500.0,1376022.0,33863721.0,1549432.0,2034950.0
070161470020000,District,W Harvey-Dixmoor PSD 147,Harvey,Cook,ELEMENTARY,MEDIUM,6.49,18678836.0,14989563.0,1229129.0,4081464.0,9163199.0,2107140.0
070161480020000,District,Dolton SD 148,Riverdale,Cook,ELEMENTARY,LARGE,9.72,35452720.0,28168530.0,1720785.0,11981695.0,17159360.0,3774951.0
070161490020000,District,Dolton SD 149,Calumet City,Cook,ELEMENTARY,LARGE,6.16,41528287.0,30963401.0,2964125.0,14051453.0,19147596.0,4964558.0
070161500020000,District,South Holland SD 150,South Holland,Cook,ELEMENTARY,MEDIUM,4.67,10972561.0,9409651.0,934285.0,7693150.0,1837142.0,905107.0
070161510020000,District,South Holland SD 151,South Holland,Cook,ELEMENTARY,MEDIUM,6.38,23484617.0,17315936.0,858916.0,12461687.0,7827797.0,2742763.0
070161520020000,District,Harvey SD 152,Harvey,Cook,ELEMENTARY,LARGE,3.74,29593855.0,24535219.0,1949629.0,3461448.0,17536149.0,3543370.0
070161525020000,District,Hazel Crest SD 152-5,Hazel Crest,Cook,ELEMENTARY,MEDIUM,7.73,17205158.0,9963499.0,2124667.0,6212109.0,5549446.0,1625538.0
070161530020000,District,Homewood SD 153,Homewood,Cook,ELEMENTARY,LARGE,6.25,26384539.0,18930179.0,1094288.0,16652823.0,4811568.0,1008939.0
070161540020000,District,Thornton SD 154,Thornton,Cook,ELEMENTARY,SMALL,4.66,3431898.0,2820763.0,339324.0,2016511.0,267734.0,263204.0
070161545020000,District,Burnham SD 154-5,Burnham,Cook,ELEMENTARY,SMALL,5.38,2619939.0,2045105.0,233272.0,593546.0,1106392.0,311189.0
070161550020000,District,Calumet City SD 155,Calumet City,Cook,ELEMENTARY,MEDIUM,7.26,18410876.0,13297567.0,653712.0,5245320.0,7838685.0,1890080.0
070161560020000,District,Lincoln ESD 156,Calumet City,Cook,ELEMENTARY,MEDIUM,6.27,11243492.0,9236432.0,710573.0,2339648.0,6777537.0,1805841.0
