RCDTS,County ,Dist # ,District Name/ School Name,City,ELA,Math
350502800170001,La Salle,2800,Mendota Twp High School,Mendota,488.9,488.8
350590050260000,Marshall,50,Henry-Senachwine CUSD 5,Henry,484.6,463.5
350590050260001,Marshall,50,Henry-Senachwine High School,Henry,484.6,463.5
350590070260000,Marshall,70,Midland CUSD 7,Sparland,465.0,462.6
350590070260001,Marshall,70,Midland High School,Varna,465.0,462.6
350785350260000,Putnam,5350,Putnam County CUSD 535,Granville,493.6,477.5
350785350260002,Putnam,5350,Putnam County High School,Granville,493.6,477.5
390550010260000,Macon,10,Argenta-Oreana CUSD 1,Argenta,496.3,467.3
390550010260001,Macon,10,Argenta-Oreana High School,Argenta,496.3,467.3
390550020260000,Macon,20,Maroa Forsyth CUSD 2,Maroa,524.0,506.6
390550020260001,Macon,20,Maroa-Forsyth Senior High Sch,Maroa,524.0,506.6
390550030260000,Macon,30,Mt Zion CUSD 3,Mt Zion,543.4,531.6
390550030260001,Macon,30,Mt Zion High School,Mount Zion,543.4,531.6
390550090260000,Macon,90,Sangamon Valley CUSD 9,Niantic,490.8,499.4
390550090260001,Macon,90,Sangamon Valley High School,Niantic,490.8,499.4
390550110260000,Macon,110,Warrensburg-Latham CUSD 11,Warrensburg,511.9,472.1
390550110260001,Macon,110,Warrensburg-Latham High School,Warrensburg,511.9,472.1
390550150260000,Macon,150,Meridian CUSD 15,Macon,487.9,470.1
390550150260001,Macon,150,Meridian High School,Macon,487.9,470.1
390550610250000,Macon,610,Decatur SD 61,Decatur,460.3,451.6
390550610250036,Macon,610,Eisenhower High School,Decatur,452.2,444.6
390550610250038,Macon,610,MacArthur High School,Decatur,469.7,461.3
390740050260000,Piatt,50,Bement CUSD 5,Bement,479.7,464.1
390740050260001,Piatt,50,Bement High School,Bement,479.7,464.1
390740250260000,Piatt,250,Monticello CUSD 25,Monticello,535.6,529.4
390740250260001,Piatt,250,Monticello High School,Monticello,535.6,529.4
390740570260000,Piatt,570,Deland-Weldon CUSD 57,De Land,473.3,450.0
390740570260001,Piatt,570,Deland-Weldon High School,De Land,473.3,450.0
390741000260000,Piatt,1000,Cerro Gordo CUSD 100,Cerro Gordo,499.1,500.0
390741000260001,Piatt,1000,Cerro Gordo Jr and Sr High School,Cerro Gordo,499.1,500.0
400070400260000,Calhoun,400,Calhoun CUSD 40,Hardin,488.8,471.9
400070400260001,Calhoun,400,Calhoun High School,Hardin,488.8,471.9
400070420260000,Calhoun,420,Brussels CUSD 42,Brussels,491.3,498.1
400070420260001,Calhoun,420,Brussels High School,Brussels,491.3,498.1
400310010260000,Greene,10,Carrollton CUSD 1,Carrollton,502.8,542.2
400310010260003,Greene,10,Carrollton High School,Carrollton,504.7,545.3
400310030260000,Greene,30,North Greene CUSD 3,White Hall,464.3,434.1
400310030260001,Greene,30,North Greene Jr/Sr High Sch,White Hall,466.8,435.8
400310100260000,Greene,100,Greenfield CUSD 10,Greenfield,511.0,510.3
400310100260001,Greene,100,Greenfield High School,Greenfield,511.0,510.3
400421000260000,Jersey,1000,Jersey CUSD 100,Jerseyville,507.1,506.3
400421000260001,Jersey,1000,Jersey Comm High School,Jerseyville,508.4,507.0
