RCDTS,Type,District,City,County,District Type,District Size,Total School Tax Rate per $100 2016-17,Total Expenditures 2016-17,Education Fund 2016-17 - Dollars,General Admin 2016-17 - Dollars,Local Property Taxes 2016-17 - Dollars,General State Aid 2016-17 - Dollars,Federal Funding 2016-17 - Dollars,Student Enrollment - Total,Expenditures_Per_Student,Education_Fund_Per_Student,General_Admin_Per_Student,Local_Property_Taxes_Per_Student,Fed_Funding_Per_Student
540920100260000,District,Potomac CUSD 10,Potomac,Vermilion,UNIT,SMALL,5.16,2177705.0,1743620.0,219293.0,1084022.0,924400.0,133325.0,156.0,13959.647435897436,11177.051282051281,1405.724358974359,6948.858974358975,854.6474358974359
540920110260000,District,Hoopeston Area CUSD 11,Hoopeston,Vermilion,UNIT,MEDIUM,5.18,13607033.0,11787839.0,539343.0,4287744.0,5999434.0,1261336.0,1238.0,10991.141357027464,9521.679321486268,435.656704361874,3463.4442649434573,1018.8497576736672
540920760260000,District,Oakwood CUSD 76,Oakwood,Vermilion,UNIT,MEDIUM,5.35,9190614.0,6246115.0,628589.0,4487062.0,3420620.0,436967.0,993.0,9255.401812688822,6290.146022155086,633.0201409869084,4518.692849949647,440.0473313192346
540921180240000,District,Danville CCSD 118,Danville,Vermilion,UNIT,LARGE,5.71,74214082.0,54746649.0,2754001.0,22707301.0,31593646.0,10767119.0,5631.0,13179.55638430119,9722.367075119872,489.07849405079025,4032.552122180785,1912.114899662582
540922250170000,District,Armstrong Twp HSD 225,Armstrong,Vermilion,HIGH SCHOOL,SMALL,2.34,2010301.0,1401504.0,188852.0,1637193.0,22543.0,76519.0,134.0,15002.246268656716,10458.985074626866,1409.3432835820895,12217.858208955224,571.0373134328358
540925120260000,District,Salt Fork Community Unit District  512,Catlin,Vermilion,UNIT,MEDIUM,5.46,8934949.0,6579189.0,748439.0,5444155.0,2267744.0,510369.0,907.0,9851.101433296582,7253.791620727674,825.180815876516,6002.3759647188535,562.7001102535833
560992020220000,District,Plainfield SD 202,Plainfield,Will,UNIT,LARGE,6.24,343576665.0,205742748.0,3937746.0,182303795.0,74795369.0,10919168.0,27102.0,12677.170135045384,7591.423068408236,145.29355767102058,6726.580879639879,402.8915947162571
560992040170000,District,Joliet Twp HSD 204,Joliet,Will,HIGH SCHOOL,LARGE,2.87,97717494.0,65883339.0,4075586.0,83829258.0,8655591.0,6038208.0,6719.0,14543.457955052836,9805.52745944337,606.576276231582,12476.448578657539,898.676588778092
560992050170000,District,Lockport Twp HSD 205,Lockport,Will,HIGH SCHOOL,LARGE,2.08,55975801.0,40338936.0,1268509.0,46669232.0,1907682.0,1646604.0,3746.0,14942.819273892152,10768.536038441003,338.63027229044314,12458.417512012813,439.5632674853177
560992100160000,District,Lincoln Way CHSD 210,New Lenox,Will,HIGH SCHOOL,LARGE,2.16,97832119.0,62442994.0,2640820.0,76385863.0,5265772.0,1800715.0,7010.0,13956.079743223965,8907.70242510699,376.72182596291015,10896.69942938659,256.8780313837375
11012002C260000,District,Marshall CUSD 2C,Marshall,Clark,UNIT,MEDIUM,3.74,11123425.0,8742938.0,1271830.0,4334997.0,4906130.0,881171.0,1306.0,8517.17075038285,6694.439509954058,973.8361408882083,3319.2932618683003,674.7098009188361
11012003C260000,District,Martinsville CUSD 3C,Martinsville,Clark,UNIT,SMALL,4.56,3962364.0,2887772.0,464006.0,1434806.0,1795337.0,659482.0,416.0,9524.913461538461,6941.759615384615,1115.3990384615386,3449.0528846153848,1585.2932692307693
11012004C260000,District,Casey-Westfield CUSD 4C,Casey,Clark,UNIT,MEDIUM,4.7,9435027.0,5736753.0,664963.0,3677212.0,3458538.0,824580.0,890.0,10601.15393258427,6445.78988764045,747.1494382022472,4131.6988764044945,926.4943820224719
11087003A260000,District,Cowden-Herrick CUSD 3A,Cowden,Shelby,UNIT,SMALL,5.07,3865393.0,2999844.0,322162.0,1141377.0,2081125.0,493515.0,356.0,10857.845505617977,8426.52808988764,904.9494382022472,3206.1151685393256,1386.2780898876404
11087005A260000,District,Stewardson-Strasburg CUD 5A,Strasburg,Shelby,UNIT,SMALL,4.6,3626798.0,2002235.0,341493.0,1656083.0,1139179.0,291191.0,355.0,10216.332394366198,5640.098591549296,961.9521126760563,4665.0225352112675,820.256338028169
17053006J260000,District,Tri Point CUSD 6-J,Kempton,Livingston,UNIT,SMALL,5.73,5559787.0,3634198.0,437047.0,3943740.0,492247.0,321752.0,397.0,14004.501259445844,9154.15113350126,1100.874055415617,9933.853904282116,810.4584382871536
51084003A260000,District,Rochester CUSD 3A,Rochester,Sangamon,UNIT,LARGE,4.52,21393685.0,15018732.0,919014.0,11785779.0,6187063.0,1178572.0,2253.0,9495.643586329339,6666.103861517976,407.9067909454061,5231.14913448735,523.1122947181535
56099200U260000,District,Beecher CUSD 200U,Beecher,Will,UNIT,MEDIUM,6.94,12013494.0,8111092.0,241311.0,10173066.0,1445499.0,356835.0,1014.0,11847.627218934911,7999.1045364891515,237.9792899408284,10032.60946745562,351.9082840236686
56099201U260000,District,Crete Monee CUSD 201U,Crete,Will,UNIT,LARGE,8.63,81581856.0,51129825.0,1762740.0,48132481.0,12961928.0,4672336.0,4893.0,16673.177191906805,10449.586143470264,360.2575107296137,9837.008174943798,954.9021050480278
56099207U260000,District,Peotone CUSD 207U,Peotone,Will,UNIT,MEDIUM,4.63,21225430.0,12507512.0,641779.0,16114818.0,876450.0,644859.0,1478.0,14360.913396481732,8462.457374830852,434.2212449255751,10903.12449255751,436.3051420838972
56099209U260000,District,Wilmington CUSD 209U,Wilmington,Will,UNIT,MEDIUM,4.68,18288571.0,12289373.0,459145.0,10113226.0,2092655.0,2594452.0,1355.0,13497.10036900369,9069.647970479706,338.85239852398524,7463.635424354244,1914.7247232472325
56099255U260000,District,Reed Custer CUSD 255U,Braidwood,Will,UNIT,MEDIUM,3.89,41320015.0,17942896.0,829057.0,23739445.0,772564.0,1080635.0,1500.0,27546.676666666666,11961.930666666667,552.7046666666666,15826.296666666667,720.4233333333333
56099365U260000,District,Valley View CUSD 365U,Romeoville,Will,UNIT,LARGE,7.54,275074739.0,185576657.0,5433914.0,175243384.0,36099150.0,15379670.0,16826.0,16348.19559015809,11029.160644241056,322.9474622607869,10415.035302508024,914.0419588731725
