RCDTS,Type,District,City_x,County,District Type,District Size,Enrollment,Student Enrollment - Low Income %,ClassSize,AvgTeachExp,BS,MS,TeachRetRate,Teacher Avg Salary,AvgSalary,County ,Dist # ,District Name/ School Name,City_y,ELA,Math
070162310160000,District,Evergreen Park CHSD 231,Evergreen Park,Cook,HIGH SCHOOL,MEDIUM,844.0,26.4,19.0,14.8,21.0,79.0,89.6,82705.7,142003.32,Cook,2310,Evergreen Park CHSD 231,Evergreen Park,507.0,505.9
070162330160000,District,Homewood Flossmoor CHSD 233,Flossmoor,Cook,HIGH SCHOOL,MEDIUM,2814.0,22.3,14.0,13.2,22.6,76.9,90.8,88171.83,150844.41,Cook,2330,Homewood Flossmoor CHSD 233,Flossmoor,512.8,493.8
070169010250000,District,Southland College Prep Charter High School,Richton Park,Cook,HIGH SCHOOL,SMALL,533.0,43.7,21.0,7.4,57.4,40.2,81.6,60153.82,123273.26,Cook,9010,Southland College Prep Charter High School,Richton Park,526.6,512.2
080083080260000,District,Eastland CUSD 308,Lanark,Carroll,UNIT,MEDIUM,649.0,39.1,20.0,13.0,47.2,52.8,83.7,52704.92,108503.83,Carroll,3080,Eastland CUSD 308,Lanark,488.7,492.3
080083140260000,District,West Carroll CUSD 314,Mount Carroll,Carroll,UNIT,MEDIUM,1113.0,49.9,18.0,16.5,53.5,46.5,86.8,48061.78,78080.0,Carroll,3140,West Carroll CUSD 314,Mount Carroll,473.8,432.5
080083990260000,District,Chadwick-Milledgeville CUSD 399,Chadwick,Carroll,UNIT,MEDIUM,470.0,28.5,13.0,15.1,59.3,40.7,88.9,50321.25,98303.5,Carroll,3990,Chadwick-Milledgeville CUSD 399,Chadwick,468.8,459.8
080431190220000,District,East Dubuque USD 119,East Dubuque,Jo Daviess,UNIT,MEDIUM,684.0,25.3,18.0,11.0,73.4,26.6,81.9,36048.25,93781.25,Jo Daviess,1190,East Dubuque USD 119,East Dubuque,524.3,530.7
080431200220000,District,Galena USD 120,Galena,Jo Daviess,UNIT,MEDIUM,834.0,34.1,17.0,13.2,34.3,65.7,93.1,59458.05,99899.43,Jo Daviess,1200,Galena USD 120,Galena,522.5,509.3
080432050260000,District,Warren CUSD 205,Warren,Jo Daviess,UNIT,SMALL,407.0,30.7,9.0,15.4,68.0,32.0,87.4,45077.96,91134.29,Jo Daviess,2050,Warren CUSD 205,Warren,489.2,499.2
080432060260000,District,Stockton CUSD 206,Stockton,Jo Daviess,UNIT,MEDIUM,613.0,39.2,21.0,17.1,46.3,53.7,93.9,56765.81,82892.85,Jo Daviess,2060,Stockton CUSD 206,Stockton,512.8,490.8
080432100260000,District,River Ridge CUSD 210,Hanover,Jo Daviess,UNIT,MEDIUM,511.0,43.6,14.0,17.5,28.9,71.1,99.0,69799.79,109081.4,Jo Daviess,2100,River Ridge CUSD 210,Hanover,503.9,526.4
080432110260000,District,Scales Mound CUSD 211,Scales Mound,Jo Daviess,UNIT,SMALL,253.0,24.5,12.0,16.3,52.8,47.2,93.8,62153.0,109877.29,Jo Daviess,2110,Scales Mound CUSD 211,Scales Mound,550.9,580.0
080891450220000,District,Freeport SD 145,Freeport,Stephenson,UNIT,LARGE,3957.0,64.5,17.0,11.8,46.1,52.7,76.4,48507.73,90527.24,Stephenson,1450,Freeport SD 145,Freeport,484.3,447.3
080892000260000,District,Pearl City CUSD 200,Pearl City,Stephenson,UNIT,SMALL,448.0,34.8,5.0,15.7,46.2,53.8,94.4,47813.59,100182.38,Stephenson,2000,Pearl City CUSD 200,Pearl City,544.4,541.5
080892010260000,District,Dakota CUSD 201,Dakota,Stephenson,UNIT,MEDIUM,814.0,30.8,20.0,16.5,39.8,60.2,88.6,54698.73,91096.98,Stephenson,2010,Dakota CUSD 201,Dakota,509.4,510.9
080892020260000,District,Lena Winslow CUSD 202,Lena,Stephenson,UNIT,MEDIUM,831.0,36.0,17.0,14.7,46.4,51.9,89.0,45174.99,95704.26,Stephenson,2020,Lena Winslow CUSD 202,Lena,522.0,507.6
080892030260000,District,Orangeville CUSD 203,Orangeville,Stephenson,UNIT,SMALL,329.0,26.1,13.0,12.0,76.4,23.6,76.9,51298.62,109749.45,Stephenson,2030,Orangeville CUSD 203,Orangeville,497.9,490.0
090100010260000,District,Fisher CUSD 1,Fisher,Champaign,UNIT,MEDIUM,622.0,29.6,20.0,13.9,58.0,39.8,85.6,47033.77,89531.89,Champaign,10,Fisher CUSD 1,Fisher,511.7,515.7
090100030260000,District,Mahomet-Seymour CUSD 3,Mahomet,Champaign,UNIT,LARGE,3113.0,19.2,22.0,14.4,48.0,52.0,89.3,53884.57,100935.29,Champaign,30,Mahomet-Seymour CUSD 3,Mahomet,583.9,605.0
090100040260000,District,Champaign CUSD 4,Champaign,Champaign,UNIT,LARGE,10014.0,54.1,19.0,10.2,46.2,53.7,82.3,51819.69,89939.01,Champaign,40,Champaign CUSD 4,Champaign,511.2,514.1
090100070260000,District,Tolono CUSD 7,Tolono,Champaign,UNIT,MEDIUM,1648.0,28.3,22.0,13.0,55.1,44.9,85.0,45800.04,100790.33,Champaign,70,Tolono CUSD 7,Tolono,505.2,518.3
090100080260000,District,Heritage CUSD 8,Homer,Champaign,UNIT,SMALL,481.0,42.0,14.0,14.0,76.4,23.6,87.1,49724.29,105714.64,Champaign,80,Heritage CUSD 8,Homer,494.3,450.0
090101160220000,District,Urbana SD 116,Urbana,Champaign,UNIT,LARGE,4590.0,70.4,17.0,10.8,49.3,50.2,81.5,53481.51,101981.41,Champaign,1160,Urbana SD 116,Urbana,485.2,456.7
090101930170000,District,Rantoul Township HSD 193,Rantoul,Champaign,HIGH SCHOOL,MEDIUM,753.0,67.1,16.0,9.8,53.4,46.6,81.7,46723.63,86848.35,Champaign,1930,Rantoul Township HSD 193,Rantoul,450.8,435.8
090103050160000,District,St Joseph Ogden CHSD 305,Saint Joseph,Champaign,HIGH SCHOOL,SMALL,468.0,6.6,20.0,13.5,48.2,51.8,93.1,43630.74,98092.33,Champaign,3050,St Joseph Ogden CHSD 305,Saint Joseph,546.3,563.7
090270050260000,District,Gibson City-Melvin-Sibley CUSD 5,Gibson City,Ford,UNIT,MEDIUM,1010.0,37.8,15.0,13.2,61.9,38.1,89.4,50052.04,110113.51,Ford,50,Gibson City-Melvin-Sibley CUSD 5,Gibson City,543.2,526.7
090270100260000,District,Paxton-Buckley-Loda CUD 10,Paxton,Ford,UNIT,MEDIUM,1356.0,47.3,16.0,13.2,51.5,48.5,86.0,44148.64,96122.29,Ford,100,Paxton-Buckley-Loda CUD 10,Paxton,501.2,509.9
